Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
2.0,2.0,43.0,22.0,477000000.0
3.0,2.0,0.0,90.0,2400000000.0
4.0,3.0,320.0,252.0,2800000000.0
2.0,2.0,43.0,22.0,477120000.0
4.0,2.0,85.0,90.0,2000000000.0
3.0,3.0,165.0,180.0,2700000000.0
4.0,3.0,200.0,120.0,2000000000.0
3.0,4.0,150.0,72.0,2450000000.0
2.0,1.0,65.0,100.0,2000000000.0
3.0,3.0,100.0,80.0,2400000000.0
3.0,2.0,100.0,76.0,1950000000.0
4.0,3.0,120.0,60.0,1330000000.0
2.0,2.0,120.0,60.0,1550000000.0
3.0,3.0,78.0,45.0,1580000000.0
5.0,4.0,240.0,110.0,3300000000.0
3.0,3.0,70.0,50.0,1100000000.0
3.0,2.0,80.0,65.0,1170000000.0
4.0,3.0,180.0,105.0,2270000000.0
4.0,4.0,330.0,180.0,5300000000.0
5.0,4.0,140.0,105.0,2900000000.0
4.0,3.0,180.0,89.0,2100000000.0
5.0,2.0,200.0,120.0,3300000000.0
3.0,2.0,150.0,90.0,2600000000.0
4.0,3.0,200.0,248.0,5800000000.0
4.0,3.0,110.0,120.0,1800000000.0
2.0,2.0,70.0,93.0,685000000.0
2.0,2.0,58.0,57.0,778000000.0
2.0,2.0,53.0,32.0,851000000.0
3.0,2.0,140.0,172.0,1900000000.0
3.0,2.0,200.0,120.0,1500000000.0
4.0,2.0,170.0,207.0,1600000000.0
4.0,4.0,96.0,63.0,2360000000.0
3.0,2.0,130.0,90.0,1800000000.0
3.0,2.0,135.0,97.0,1450000000.0
2.0,2.0,41.0,21.0,497000000.0
3.0,2.0,64.0,186.0,2500000000.0
4.0,2.0,108.0,67.0,1200000000.0
3.0,4.0,300.0,140.0,3600000000.0
2.0,1.0,120.0,144.0,3700000000.0
5.0,4.0,140.0,105.0,2900000000.0
2.0,2.0,39.0,20.0,482500000.0
3.0,1.0,60.0,93.0,780000000.0
5.0,3.0,160.0,96.0,1800000000.0
2.0,2.0,40.0,21.0,455000000.0
4.0,4.0,400.0,278.0,4000000000.0
5.0,3.0,178.0,105.0,3200000000.0
2.0,2.0,41.0,21.0,553000000.0
3.0,2.0,86.0,70.0,1420000000.0
4.0,2.0,160.0,200.0,3700000000.0
2.0,2.0,46.0,24.0,514500000.0
2.0,2.0,41.0,21.0,470000000.0
2.0,2.0,75.0,112.0,830000000.0
4.0,5.0,200.0,155.0,3250000000.0
4.0,3.0,108.0,130.0,2300000000.0
3.0,3.0,179.0,120.0,4500000000.0
3.0,2.0,144.0,90.0,1320000000.0
3.0,3.0,100.0,64.0,1950000000.0
2.0,2.0,52.0,28.0,794600000.0
3.0,3.0,97.0,55.0,2480000000.0
3.0,3.0,90.0,76.0,2350000000.0
2.0,2.0,37.0,19.0,408000000.0
3.0,2.0,136.0,170.0,5800000000.0
3.0,3.0,160.0,81.0,1500000000.0
3.0,2.0,60.0,52.0,750000000.0
2.0,2.0,61.0,84.0,1140000000.0
2.0,2.0,41.0,21.0,455000000.0
2.0,2.0,24.0,24.0,290000000.0
2.0,1.0,40.0,20.0,360000000.0
3.0,3.0,61.0,32.0,1190000000.0
3.0,3.0,90.0,76.0,2500000000.0
4.0,3.0,98.0,63.0,2260000000.0
2.0,1.0,61.0,84.0,1220000000.0
3.0,2.0,86.0,60.0,1930000000.0
5.0,5.0,275.0,211.0,5600000000.0
4.0,4.0,120.0,125.0,1730000000.0
4.0,3.0,130.0,100.0,2000000000.0
2.0,2.0,69.0,112.0,2300000000.0
3.0,2.0,90.0,120.0,810000000.0
4.0,3.0,244.0,138.0,5300000000.0
3.0,3.0,99.0,59.0,2049999999.9999998
2.0,2.0,90.0,61.0,1190000000.0
4.0,3.0,75.0,90.0,1600000000.0
3.0,3.0,115.0,115.0,3400000000.0
3.0,4.0,164.0,56.0,2109999999.9999998
3.0,2.0,123.0,120.0,2250000000.0
3.0,3.0,160.0,81.0,1500000000.0
3.0,2.0,60.0,52.0,750000000.0
5.0,2.0,350.0,230.0,3700000000.0
4.0,3.0,250.0,144.0,5300000000.0
5.0,5.0,119.0,199.0,3500000000.0
3.0,3.0,200.0,120.0,1300000000.0
2.0,1.0,44.0,44.0,450000000.0
4.0,5.0,175.0,60.0,2390000000.0
4.0,3.0,75.0,90.0,1550000000.0
2.0,1.0,50.0,72.0,1200000000.0
4.0,4.0,400.0,269.0,4500000000.0
2.0,1.0,45.0,70.0,625000000.0
5.0,5.0,156.0,105.0,2700000000.0
4.0,4.0,115.0,98.0,2900000000.0
3.0,3.0,100.0,108.0,1760000000.0
3.0,2.0,88.0,66.0,1390000000.0
3.0,2.0,103.0,84.0,2380000000.0
3.0,3.0,115.0,115.0,3400000000.0
3.0,3.0,100.0,62.0,1450000000.0
3.0,3.0,85.0,50.0,1200000000.0
3.0,3.0,78.0,45.0,1580000000.0
3.0,2.0,293.0,88.0,4500000000.0
4.0,4.0,154.0,105.0,3180000000.0
4.0,3.0,75.0,90.0,1550000000.0
3.0,2.0,110.0,102.0,2500000000.0
2.0,2.0,40.0,29.0,500000000.0
3.0,2.0,51.0,75.0,979000000.0
2.0,2.0,122.0,150.0,2300000000.0
4.0,2.0,167.0,116.0,1950000000.0
3.0,2.0,70.0,50.0,750000000.0
3.0,3.0,190.0,81.0,2200000000.0
3.0,2.0,320.0,162.0,4200000000.0
3.0,2.0,200.0,105.0,2700000000.0
3.0,2.0,150.0,130.0,2500000000.0
5.0,2.0,200.0,134.0,2550000000.0
3.0,3.0,170.0,125.0,2460000000.0
3.0,2.0,75.0,51.0,979000000.0
2.0,2.0,50.0,24.0,550000000.0
3.0,2.0,215.0,236.0,3700000000.0
3.0,2.0,52.0,26.0,340000000.0
4.0,5.0,170.0,100.0,3900000000.0
2.0,2.0,58.0,58.0,775890000.0
2.0,2.0,90.0,56.0,880000000.0
4.0,3.0,120.0,90.0,2400000000.0
4.0,3.0,102.0,102.0,1680000000.0
2.0,2.0,46.0,60.0,560000000.0
2.0,2.0,100.0,119.0,1250000000.0
4.0,3.0,380.0,79.0,4500000000.0
4.0,4.0,255.0,107.0,5500000000.0
2.0,2.0,36.0,18.0,494000000.0
5.0,4.0,127.0,170.0,2800000000.0
3.0,2.0,63.0,40.5,1500000000.0
4.0,4.0,153.0,171.0,3500000000.0
4.0,2.0,135.0,80.0,2000000000.0
3.0,2.0,90.0,68.0,1400000000.0
2.0,2.0,53.0,32.0,855000000.0
3.0,2.0,250.0,150.0,2700000000.0
2.0,2.0,55.0,35.0,879000000.0
4.0,2.0,360.0,90.0,4500000000.0
3.0,2.0,105.0,71.0,710000000.0
2.0,2.0,52.0,32.0,889000000.0
